ma_sv,nam_hoc,hoc_ky,nam,ma_mon,ten_mon,khoi_kien_thuc,so_tin_chi,profile,diem_cc,diem_bt,diem_gk,diem_ck,diem_tong,xep_loai,diem_gpa,lms_logins,so_lan_vang,ty_le_nop_bai,muc_tham_gia,gio_tu_hoc,ielts_score,dat_mon,dropout_risk,risk_level,dat_PLO1,dat_PLO2,dat_PLO3,dat_PLO4,dat_PLO5,dat_PLO6,dat_PLO7,dat_PLO8,dat_PLO9,dat_PLO10
SV0005,2023-2024,2,3,BEB12003,Kỹ năng giao tiếp,1,2,average,5.24,5.49,6.38,7.65,6.6,C+,2.5,24,2,0.528,6.04,22.0,3.8,1,0,Thấp,,,,,,,1.0,0.0,,
SV0006,2022-2023,1,2,DSB45035,Ngôn ngữ tự nhiên,3,5,average,5.46,4.88,8.2,9.69,7.86,B,3.0,20,2,0.901,7.93,10.6,4.4,1,0,Thấp,1.0,,1.0,,,,,,,
SV0006,2022-2023,1,2,BEB12013,Văn hóa và Giáo dục Anh,1,2,average,7.93,6.72,5.55,6.04,6.22,C,2.0,19,2,0.81,6.43,10.6,4.4,1,0,Thấp,,,,,,1.0,,,,
SV0006,2022-2023,2,2,BEB15138,Tiếng Anh học thuật 2,1,5,average,7.57,7.42,6.19,6.62,6.74,C+,2.5,30,3,0.742,6.52,10.6,4.4,1,0,Thấp,,,,,,1.0,,,,
SV0006,2022-2023,2,2,CSB45051,Thực tiễn tốt nhất phát triển PM,3,5,average,10.0,8.71,7.89,6.66,7.77,B,3.0,23,1,1.0,6.46,10.6,4.4,1,0,Thấp,,0.0,,,,,,,,1.0
SV0007,2024-2025,1,4,DSB45035,Ngôn ngữ tự nhiên,3,5,below_avg,5.88,4.7,4.98,6.27,5.53,C,2.0,0,4,0.576,5.3,9.4,4.1,1,0,Trung bình,1.0,,1.0,,,,,,,
SV0007,2024-2025,2,4,DSB23018,Phân tích dữ liệu lớn,3,3,below_avg,6.39,7.07,2.96,5.54,5.16,D+,1.5,17,4,0.392,4.67,9.4,4.1,1,0,Trung bình,,,0.0,0.0,0.0,,,,,
SV0007,2024-2025,2,4,DSB25030,Đại số tuyến tính cho KHDL,2,5,below_avg,7.41,5.53,6.89,5.03,5.93,C,2.0,26,4,0.56,4.3,9.4,4.1,1,0,Trung bình,0.0,,1.0,,,,,,,
SV0007,2024-2025,1,4,DSB23017,Thách thức dữ liệu 2,3,3,below_avg,6.94,4.77,6.21,5.4,5.67,C,2.0,34,6,0.314,4.93,9.4,4.1,1,0,Trung bình,,,0.0,,,,0.0,1.0,,
SV0008,2024-2025,2,4,BEB32124,Chủ nghĩa xã hội khoa học,1,2,below_avg,5.22,6.39,5.53,1.75,4.16,D,1.0,22,5,0.612,6.62,9.9,4.5,1,0,Cao,,,,,,,,,,0.0
SV0008,2024-2025,1,4,CSB22024,Thuật toán và cấu trúc dữ liệu,2,2,below_avg,5.29,5.71,2.9,6.27,5.05,D+,1.5,22,6,0.464,5.81,9.9,4.5,1,0,Trung bình,1.0,,0.0,,,,,,,
SV0008,2024-2025,2,4,DSB45027,Internet kết nối vạn vật,3,5,below_avg,6.28,5.32,3.76,4.32,4.55,D,1.0,18,5,0.7,3.94,9.9,4.5,1,0,Trung bình,,,1.0,,0.0,,,,,
SV0008,2024-2025,1,4,DSB43024,Đạo đức trong KHDL,3,3,below_avg,5.11,4.01,5.04,5.51,5.03,D+,1.5,20,6,0.679,5.84,9.9,4.5,1,0,Trung bình,,,,1.0,,,,,,0.0
SV0009,2021-2022,1,1,BEB12002,Tin học ứng dụng,1,2,average,5.5,4.28,5.05,6.73,5.61,C,2.0,34,3,0.338,3.89,23.0,4.1,1,0,Trung bình,0.0,,,,,,,,,
SV0009,2021-2022,2,1,BEB12001,Kỹ năng học thuật,1,2,average,6.43,6.75,6.84,6.37,6.59,C+,2.5,36,3,0.93,5.5,23.0,4.1,1,0,Thấp,,,,,,1.0,,,0.0,
SV0009,2021-2022,2,1,BEB23122,Triết học Mác-Lênin,1,3,average,7.98,5.73,6.63,5.88,6.28,C,2.0,29,4,0.551,4.9,23.0,4.1,1,0,Trung bình,,,,,,,,,,1.0
SV0009,2021-2022,1,1,DSB23015,Thách thức dữ liệu 1,2,3,average,4.2,5.39,6.9,5.86,5.91,C,2.0,31,4,0.749,6.13,23.0,4.1,1,0,Trung bình,,,1.0,,,,0.0,0.0,,
SV0010,2021-2022,1,1,BEB14130,Chuẩn bị kỹ năng IELTS L1,1,4,average,9.06,4.54,6.47,4.95,5.74,C,2.0,33,2,0.275,7.13,12.0,3.3,1,0,Trung bình,,,,,,1.0,,,,
SV0010,2021-2022,2,1,BEB23122,Triết học Mác-Lênin,1,3,average,6.36,4.92,5.21,6.71,5.87,C,2.0,28,3,0.604,7.52,12.0,3.3,1,0,Trung bình,,,,,,,,,,0.0
SV0010,2021-2022,2,1,DSB45025,Thách thức dữ liệu nâng cao,3,5,average,5.23,7.48,5.6,7.54,6.71,C+,2.5,33,2,0.902,8.15,12.0,3.3,1,0,Thấp,,,1.0,,,,,1.0,1.0,
SV0010,2021-2022,2,1,BEB32124,Chủ nghĩa xã hội khoa học,1,2,average,8.29,5.19,6.4,6.17,6.25,C,2.0,32,1,0.612,4.13,12.0,3.3,1,0,Thấp,,,,,,,,,,0.0
SV0011,2022-2023,1,2,BEB12013,Văn hóa và Giáo dục Anh,1,2,excellent,8.86,9.02,9.24,8.39,8.82,A,4.0,63,0,0.851,10.0,34.7,6.1,1,0,Thấp,,,,,,1.0,,,,
SV0011,2022-2023,1,2,BEB11003,Kỹ năng giao tiếp LT,1,1,excellent,10.0,8.91,9.2,8.73,9.03,A,4.0,53,0,0.915,7.95,34.7,6.1,1,0,Thấp,,,,,,,1.0,,,
SV0011,2022-2023,2,2,BEB12001,Kỹ năng học thuật,1,2,excellent,9.93,9.6,9.8,9.24,9.55,A+,4.0,52,1,0.804,9.74,34.7,6.1,1,0,Thấp,,,,,,0.0,,,1.0,
SV0011,2022-2023,1,2,DSB13001,Xác suất thống kê,2,3,excellent,6.81,7.01,10.0,9.87,9.03,A,4.0,49,0,0.405,8.26,34.7,6.1,1,0,Thấp,0.0,,1.0,1.0,,,,,,
SV0012,2021-2022,1,1,DSB410026,Đồ án tốt nghiệp,5,10,average,7.8,5.37,7.08,8.15,7.24,B,3.0,22,1,1.0,6.01,13.5,4.6,1,0,Thấp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SV0012,2021-2022,2,1,BEB12003,Kỹ năng giao tiếp,1,2,average,5.12,6.96,5.35,7.58,6.54,C+,2.5,10,1,0.597,5.37,13.5,4.6,1,0,Thấp,,,,,,,1.0,0.0,,
SV0012,2021-2022,2,1,BEB23122,Triết học Mác-Lênin,1,3,average,6.7,6.01,6.24,4.99,5.74,C,2.0,35,3,0.608,6.76,13.5,4.6,1,0,Trung bình,,,,,,,,,,0.0
SV0012,2021-2022,1,1,DSB33021,Kỹ thuật mô hình hóa,3,3,average,9.44,6.1,5.63,5.3,5.97,C,2.0,21,1,0.417,6.13,13.5,4.6,1,0,Trung bình,,0.0,1.0,,,,,,,
SV0013,2021-2022,2,1,DBB33003,Ra quyết định dựa trên dữ liệu,3,3,good,6.26,7.42,7.51,6.42,6.93,F,0.0,43,0,1.0,8.75,18.7,4.4,1,0,Thấp,,,1.0,0.0,,,,,0.0,
SV0013,2021-2022,2,1,BEB12003,Kỹ năng giao tiếp,1,2,good,6.61,7.15,5.91,8.36,7.21,B,3.0,57,0,0.724,7.74,18.7,4.4,1,0,Thấp,,,,,,,0.0,0.0,,
SV0013,2021-2022,2,1,DSB45027,Internet kết nối vạn vật,3,5,good,8.3,9.69,5.22,5.96,6.72,C+,2.5,38,0,0.972,7.74,18.7,4.4,1,0,Thấp,,,0.0,,1.0,,,,,
SV0013,2021-2022,1,1,CSB22024,Thuật toán và cấu trúc dữ liệu,2,2,good,7.31,9.03,6.45,6.74,7.17,B,3.0,46,2,0.917,5.81,18.7,4.4,1,0,Thấp,1.0,,1.0,,,,,,,
SV0014,2024-2025,2,4,CSB35036,Thiết kế & phát triển ứng dụng di động,3,5,average,6.26,7.94,5.47,6.24,6.35,C,2.0,32,2,0.921,5.67,17.2,3.9,1,0,Thấp,,0.0,,,1.0,,,,,
SV0014,2024-2025,1,4,DSB33021,Kỹ thuật mô hình hóa,3,3,average,5.75,3.3,7.93,9.26,7.32,B,3.0,26,0,0.803,5.91,17.2,3.9,1,0,Thấp,,0.0,1.0,,,,,,,
SV0014,2024-2025,2,4,CSB25022,Thiết kế & phát triển ứng dụng web,3,5,average,7.7,6.83,4.21,7.04,6.21,C,2.0,46,3,0.799,6.06,17.2,3.9,1,0,Thấp,0.0,0.0,,,1.0,,,,,
SV0014,2024-2025,1,4,BEB12013,Văn hóa và Giáo dục Anh,1,2,average,4.92,6.4,5.53,8.42,6.8,C+,2.5,28,5,0.684,6.79,17.2,3.9,1,0,Trung bình,,,,,,1.0,,,,
SV0015,2024-2025,2,4,CSB25020,Toán cho khoa học máy tính,2,5,average,6.59,6.1,3.95,4.26,4.77,D,1.0,33,2,0.165,6.98,21.1,4.2,1,0,Trung bình,0.0,,1.0,,,,,,,
SV0015,2024-2025,1,4,CSB35040,Kiểm thử phần mềm,3,5,average,5.42,7.2,6.42,9.06,7.53,B,3.0,33,3,0.825,7.02,21.1,4.2,1,0,Thấp,,1.0,,,0.0,,,,,
SV0015,2024-2025,1,4,DSB45035,Ngôn ngữ tự nhiên,3,5,average,6.37,5.68,5.43,7.15,6.26,C,2.0,41,2,0.786,6.51,21.1,4.2,1,0,Thấp,1.0,,1.0,,,,,,,
SV0015,2024-2025,2,4,CSB35038,Quản lý dự án phần mềm,3,5,average,4.3,5.21,5.06,3.42,4.36,D,1.0,22,1,0.52,7.31,21.1,4.2,1,0,Cao,,,,,,,1.0,,,1.0
SV0016,2024-2025,1,4,CSB25018,Phân tích HT & thiết kế CSDL,2,5,good,7.98,8.34,5.96,7.49,7.25,B,3.0,40,0,0.615,8.19,10.1,3.8,1,0,Thấp,,1.0,,0.0,1.0,,,,,
SV0016,2024-2025,1,4,BEB15139,Tiếng Anh học thuật 3,1,5,good,9.35,4.76,5.4,6.39,6.07,C,2.0,53,1,0.965,6.36,10.1,3.8,1,0,Thấp,,,,,,1.0,,,,
SV0016,2024-2025,1,4,BEB22034,Tư tưởng Hồ Chí Minh,1,2,good,8.54,7.57,7.86,7.27,7.64,B,3.0,44,1,0.967,8.31,10.1,3.8,1,0,Thấp,,,,,,,,,,1.0
SV0016,2024-2025,1,4,CSB35040,Kiểm thử phần mềm,3,5,good,5.3,8.7,8.63,6.28,7.37,B,3.0,27,1,0.99,9.3,10.1,3.8,1,0,Thấp,,1.0,,,0.0,,,,,
SV0017,2022-2023,1,2,CSB35040,Kiểm thử phần mềm,3,5,below_avg,4.89,6.03,5.57,5.03,5.38,D+,1.5,29,5,0.661,5.64,13.5,3.7,1,0,Trung bình,,1.0,,,1.0,,,,,
SV0017,2022-2023,1,2,CSB22024,Thuật toán và cấu trúc dữ liệu,2,2,below_avg,6.1,4.33,3.26,6.52,5.06,D+,1.5,33,7,0.588,6.35,13.5,3.7,1,0,Cao,1.0,,1.0,,,,,,,
SV0017,2022-2023,2,2,BEB14133,Chuẩn bị kỹ năng IELTS L4,1,4,below_avg,4.69,5.48,4.87,2.94,4.2,D,1.0,19,4,0.82,5.89,13.5,3.7,1,0,Cao,,,,,,1.0,,,,
SV0017,2022-2023,2,2,DBB33003,Ra quyết định dựa trên dữ liệu,3,3,below_avg,6.3,5.05,4.56,3.2,4.29,D,1.0,18,3,0.362,5.51,13.5,3.7,1,0,Cao,,,0.0,0.0,,,,,1.0,
SV0018,2021-2022,1,1,BEB14130,Chuẩn bị kỹ năng IELTS L1,1,4,average,7.46,7.74,7.32,6.04,6.91,F,0.0,20,2,0.883,6.0,20.1,4.5,1,0,Thấp,,,,,,0.0,,,,
SV0018,2021-2022,1,1,BEB14132,Chuẩn bị kỹ năng IELTS L3,1,4,average,7.3,5.6,5.25,6.57,6.05,C,2.0,26,3,0.891,5.06,20.1,4.5,1,0,Thấp,,,,,,1.0,,,,
SV0018,2021-2022,2,1,CSB25020,Toán cho khoa học máy tính,2,5,average,8.73,4.81,3.46,3.97,4.46,D,1.0,30,3,0.532,7.41,20.1,4.5,1,0,Cao,0.0,,0.0,,,,,,,
SV0018,2021-2022,2,1,DSB310022,Thực tập nghề nghiệp,5,10,average,8.87,4.85,5.54,5.3,5.64,C,2.0,22,2,0.764,8.04,20.1,4.5,1,0,Trung bình,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SV0019,2023-2024,2,3,BEB13004,Lập kế hoạch phát triển cá nhân,1,3,average,7.4,6.71,3.68,7.0,5.99,C,2.0,22,0,0.541,6.28,12.6,5.2,1,0,Trung bình,,,,,,,,1.0,1.0,
SV0019,2023-2024,1,3,DSB35032,Thách thức dữ liệu: Hệ đề nghị,3,5,average,5.39,5.71,5.3,6.14,5.73,C,2.0,32,1,0.659,6.26,12.6,5.2,1,0,Trung bình,,0.0,1.0,,,,,,,
SV0019,2023-2024,2,3,BEB12010,Văn hóa toàn cầu,1,2,average,6.99,5.93,5.88,6.17,6.11,C,2.0,31,4,0.683,5.03,12.6,5.2,1,0,Trung bình,,,,,,1.0,,,,1.0
SV0019,2023-2024,2,3,BEB12003,Kỹ năng giao tiếp,1,2,average,8.49,5.68,3.0,4.16,4.55,D,1.0,23,2,0.489,6.24,12.6,5.2,1,0,Trung bình,,,,,,,1.0,0.0,,
SV0020,2023-2024,1,3,BEB12013,Văn hóa và Giáo dục Anh,1,2,average,8.91,5.45,8.47,5.93,6.89,C+,2.5,19,3,0.689,5.45,17.4,3.3,1,0,Thấp,,,,,,1.0,,,,
SV0020,2023-2024,2,3,DSB45025,Thách thức dữ liệu nâng cao,3,5,average,7.67,5.45,7.18,7.59,7.05,B,3.0,41,3,1.0,4.32,17.4,3.3,1,0,Thấp,,,1.0,,,,,0.0,0.0,
SV0020,2023-2024,2,3,DSB45027,Internet kết nối vạn vật,3,5,average,6.31,6.0,8.26,6.0,6.71,C+,2.5,33,2,0.861,6.21,17.4,3.3,1,0,Thấp,,,0.0,,1.0,,,,,
SV0020,2023-2024,1,3,BEB12002,Tin học ứng dụng,1,2,average,8.98,6.57,6.71,4.82,6.15,C,2.0,29,4,0.98,6.41,17.4,3.3,1,0,Trung bình,0.0,,,,,,,,,
SV0021,2021-2022,1,1,BEB14130,Chuẩn bị kỹ năng IELTS L1,1,4,average,2.62,4.13,6.54,6.77,5.76,C,2.0,20,1,0.756,5.72,16.4,4.2,1,0,Trung bình,,,,,,1.0,,,,
SV0021,2021-2022,1,1,CSB35037,Nhập môn trí tuệ nhân tạo,3,5,average,7.0,6.69,7.94,6.36,6.96,F,0.0,21,2,0.845,4.84,16.4,4.2,1,0,Thấp,1.0,1.0,1.0,,,,,,,
SV0021,2021-2022,2,1,CSB13054,Nhập môn lập trình và máy tính,2,3,average,7.04,5.86,5.87,6.47,6.23,C,2.0,34,1,0.694,7.3,16.4,4.2,1,0,Thấp,1.0,,0.0,,,,,,,
SV0021,2021-2022,1,1,DSB45028,Phân tích dữ liệu cho KHSS,3,5,average,7.53,6.76,4.16,6.48,5.94,C,2.0,35,3,0.645,4.8,16.4,4.2,1,0,Trung bình,,,0.0,0.0,,,,,,
SV0022,2022-2023,1,2,CSB13055,Lập trình Java,2,3,at_risk,4.87,3.92,4.42,3.15,3.86,F,0.0,11,9,0.541,2.77,12.6,5.2,0,1,Cao,1.0,0.0,,,,,,,,
SV0022,2022-2023,2,2,CSB25022,Thiết kế & phát triển ứng dụng web,3,5,at_risk,5.0,3.91,4.3,2.55,3.59,F,0.0,16,8,0.365,4.94,12.6,5.2,0,1,Cao,0.0,0.0,,,1.0,,,,,
SV0022,2022-2023,1,2,CSB35040,Kiểm thử phần mềm,3,5,at_risk,3.77,3.56,3.17,2.6,3.08,F,0.0,14,8,0.597,3.91,12.6,5.2,0,1,Cao,,0.0,,,0.0,,,,,
SV0022,2022-2023,1,2,BEB11003,Kỹ năng giao tiếp LT,1,1,at_risk,4.56,0.88,3.54,2.99,2.89,F,0.0,18,9,0.58,3.0,12.6,5.2,0,1,Cao,,,,,,,1.0,,,
SV0023,2023-2024,2,3,BEB14128,Tiếng Anh học thuật nâng cao,1,4,average,8.17,7.04,6.12,5.29,6.18,C,2.0,23,2,0.931,5.24,19.9,4.1,1,0,Thấp,,,,,,0.0,,,,
SV0023,2023-2024,2,3,CSB45051,Thực tiễn tốt nhất phát triển PM,3,5,average,5.51,5.96,6.13,9.13,7.24,B,3.0,18,5,0.872,6.61,19.9,4.1,1,0,Trung bình,,1.0,,,,,,,,0.0
SV0023,2023-2024,1,3,DSB45028,Phân tích dữ liệu cho KHSS,3,5,average,6.82,7.94,5.45,7.56,6.93,F,0.0,24,2,0.689,6.66,19.9,4.1,1,0,Thấp,,,0.0,1.0,,,,,,
SV0023,2023-2024,1,3,DSB45035,Ngôn ngữ tự nhiên,3,5,average,6.76,4.86,5.72,4.29,5.08,D+,1.5,22,3,0.748,9.01,19.9,4.1,1,0,Trung bình,0.0,,0.0,,,,,,,
SV0024,2024-2025,1,4,BEB14132,Chuẩn bị kỹ năng IELTS L3,1,4,excellent,7.35,9.58,8.17,8.08,8.34,B+,3.5,55,1,0.877,8.14,27.2,5.2,1,0,Thấp,,,,,,0.0,,,,
SV0024,2024-2025,2,4,BEB14126,Tiếng Anh nền tảng 1,1,4,excellent,9.12,10.0,9.09,9.97,9.63,A+,4.0,64,2,0.942,9.4,27.2,5.2,1,0,Thấp,,,,,,1.0,,,,
SV0024,2024-2025,2,4,CSB25017,Lập trình hướng đối tượng,2,5,excellent,7.88,9.64,6.87,7.85,7.92,F,0.0,65,1,1.0,8.53,27.2,5.2,1,0,Thấp,1.0,0.0,,,,,,,,
SV0024,2024-2025,1,4,DSB15029,Thách thức dữ liệu: khai phá,3,5,excellent,9.32,8.89,9.86,8.37,9.02,A,4.0,57,0,0.918,8.8,27.2,5.2,1,0,Thấp,,,1.0,,,,,0.0,,
SV0025,2022-2023,1,2,BEB14127,Tiếng Anh nền tảng 2,1,4,excellent,8.88,7.98,10.0,8.6,8.92,A,4.0,65,0,0.856,8.71,33.9,5.1,1,0,Thấp,,,,,,1.0,,,,
SV0025,2022-2023,1,2,BEB32123,Kinh tế chính trị Mác-Lênin,1,2,excellent,10.0,6.02,6.1,8.15,7.29,B,3.0,55,1,0.921,8.42,33.9,5.1,1,0,Thấp,,,,,,,1.0,,,
SV0025,2022-2023,2,2,DSB23018,Phân tích dữ liệu lớn,3,3,excellent,10.0,9.02,9.66,9.13,9.35,A,4.0,50,1,0.867,8.8,33.9,5.1,1,0,Thấp,,,0.0,1.0,1.0,,,,,
SV0025,2022-2023,1,2,BEB22034,Tư tưởng Hồ Chí Minh,1,2,excellent,7.78,8.36,8.19,6.99,7.71,B,3.0,47,0,1.0,10.0,33.9,5.1,1,0,Thấp,,,,,,,,,,1.0
SV0026,2024-2025,1,4,BEB13009,Khởi sự kinh doanh,1,3,excellent,8.29,8.98,8.94,9.3,9.03,A,4.0,44,1,0.73,9.43,15.5,5.1,1,0,Thấp,,,,1.0,,,,1.0,,
SV0026,2024-2025,2,4,BEB15138,Tiếng Anh học thuật 2,1,5,excellent,8.82,9.24,9.24,8.63,8.95,A,4.0,67,2,0.812,9.55,15.5,5.1,1,0,Thấp,,,,,,1.0,,,,
SV0026,2024-2025,1,4,DSB13001,Xác suất thống kê,2,3,excellent,10.0,7.33,7.39,10.0,8.68,A,4.0,46,0,0.777,9.22,15.5,5.1,1,0,Thấp,1.0,,1.0,1.0,,,,,,
SV0026,2024-2025,2,4,BEB14137,Tiếng Anh học thuật 1,1,4,excellent,8.35,7.74,10.0,9.16,9.05,A,4.0,62,0,0.822,8.09,15.5,5.1,1,0,Thấp,,,,,,1.0,,,,
SV0027,2021-2022,1,1,DSB45028,Phân tích dữ liệu cho KHSS,3,5,excellent,9.69,9.74,7.42,9.43,8.91,A,4.0,60,0,0.934,9.37,13.8,4.2,1,0,Thấp,,,1.0,0.0,,,,,,
SV0027,2021-2022,1,1,BEB14130,Chuẩn bị kỹ năng IELTS L1,1,4,excellent,7.78,8.9,8.89,7.85,8.37,B+,3.5,55,1,0.943,10.0,13.8,4.2,1,0,Thấp,,,,,,1.0,,,,
SV0027,2021-2022,1,1,BEB12002,Tin học ứng dụng,1,2,excellent,8.0,10.0,7.86,10.0,9.16,A,4.0,55,0,0.579,8.63,13.8,4.2,1,0,Thấp,1.0,,,,,,,,,
SV0027,2021-2022,2,1,CSB35038,Quản lý dự án phần mềm,3,5,excellent,10.0,10.0,7.54,9.16,8.93,A,4.0,49,0,0.966,8.76,13.8,4.2,1,0,Thấp,,,,,,,1.0,,,1.0
SV0028,2024-2025,2,4,BEB12010,Văn hóa toàn cầu,1,2,below_avg,6.79,5.78,5.51,6.34,6.03,C,2.0,31,4,0.906,4.38,19.0,4.1,1,0,Trung bình,,,,,,1.0,,,,1.0
SV0028,2024-2025,1,4,DSB43024,Đạo đức trong KHDL,3,3,below_avg,7.94,5.44,4.54,5.93,5.62,C,2.0,2,1,0.669,5.06,19.0,4.1,1,0,Trung bình,,,,0.0,,,,,,1.0
SV0028,2024-2025,2,4,DSB23016,Đại số tuyến tính,2,3,below_avg,5.97,7.4,5.79,4.7,5.7,C,2.0,16,4,0.231,5.26,19.0,4.1,1,0,Trung bình,0.0,,0.0,,,,,,,
SV0028,2024-2025,2,4,CSB35036,Thiết kế & phát triển ứng dụng di động,3,5,below_avg,5.21,3.61,3.64,4.56,4.16,D,1.0,3,5,0.663,4.75,19.0,4.1,1,0,Cao,,0.0,,,0.0,,,,,
SV0029,2024-2025,1,4,DSB45035,Ngôn ngữ tự nhiên,3,5,average,7.68,8.4,5.76,6.65,6.84,C+,2.5,18,4,0.736,5.64,13.3,3.6,1,0,Trung bình,1.0,,1.0,,,,,,,
SV0029,2024-2025,2,4,DSB33019,Thách thức dữ liệu 3,3,3,average,7.27,7.36,6.35,4.29,5.82,C,2.0,29,4,0.268,5.13,13.3,3.6,1,0,Trung bình,,,0.0,,,,1.0,,0.0,
SV0029,2024-2025,1,4,BEB11003,Kỹ năng giao tiếp LT,1,1,average,9.23,6.76,6.79,9.45,8.09,B+,3.5,28,1,0.914,6.64,13.3,3.6,1,0,Thấp,,,,,,,1.0,,,
SV0029,2024-2025,1,4,BEB14132,Chuẩn bị kỹ năng IELTS L3,1,4,average,5.76,8.97,6.39,5.32,6.42,F,0.0,37,2,0.812,6.76,13.3,3.6,1,0,Thấp,,,,,,0.0,,,,
